date,요일,청양고추_거래량(kg),청양고추_가격(원/kg),시금치_거래량(kg),시금치_가격(원/kg),토마토_거래량(kg),토마토_가격(원/kg),파프리카_거래량(kg),파프리카_가격(원/kg),깻잎_거래량(kg),깻잎_가격(원/kg),미나리_거래량(kg),미나리_가격(원/kg),양파_거래량(kg),양파_가격(원/kg),풋고추_거래량(kg),풋고추_가격(원/kg)
2015-07-28,화요일,184100,5700,185070,1980,322630,2150,5340,1270,77740,4980,62720,2030,469320,670,335890,4370
2015-07-29,수요일,184610,5680,184450,1980,322610,2150,5200,1260,77780,4970,62570,2020,468020,670,336870,4360
2015-07-30,목요일,184880,5660,183760,1990,322460,2140,5080,1200,77850,4970,62420,2020,466470,670,337530,4340
2015-07-31,금요일,184960,5640,183050,2000,322770,2130,5350,1230,78040,4980,62300,2020,465140,680,337990,4320
2015-08-01,토요일,184170,5620,182070,2000,321590,2130,5140,1290,77690,4980,61970,2020,462760,680,336630,4310
2015-08-02,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2015-08-03,월요일,184360,5600,181350,2020,322740,2120,5180,1330,77960,4970,61820,2020,462820,680,337280,4300
2015-08-04,화요일,184550,5580,180630,2030,322960,2110,4740,1400,78010,4970,61680,2020,461870,690,337780,4280
2015-08-05,수요일,185020,5560,179900,2040,323060,2110,4010,1500,78010,4960,61510,2030,460650,690,338690,4270
2015-08-06,목요일,185550,5540,179180,2050,322910,2100,4040,1560,78010,4960,61350,2030,459080,690,339610,4260
2015-08-07,금요일,185760,5520,178420,2060,322580,2100,5590,1450,77970,4970,61200,2030,458240,700,340090,4240
2015-08-08,토요일,185760,5500,177640,2080,322670,2090,5850,1610,77990,4980,61050,2030,456620,700,340150,4230
2015-08-09,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2015-08-10,월요일,186000,5480,176930,2090,323100,2080,5710,1690,78150,4980,60890,2030,455550,700,340790,4220
2015-08-11,화요일,186580,5470,176260,2100,323280,2080,6380,1600,78200,4970,60750,2040,454400,700,341850,4200
2015-08-12,수요일,187290,5450,175570,2110,323350,2070,7260,1630,78250,4970,60600,2040,453080,710,342960,4190
2015-08-13,목요일,187640,5420,174850,2130,323150,2070,7210,1680,78230,4960,60440,2040,451390,710,343630,4180
2015-08-14,금요일,187770,5400,174130,2140,323090,2060,4980,1870,78250,4960,60230,2050,450210,710,344110,4170
2015-08-15,토요일,187520,5390,173420,2160,323170,2060,5000,1780,78260,4960,60100,2050,448410,720,343880,4150
2015-08-16,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2015-08-17,월요일,188060,5370,172760,2180,323550,2050,5320,1780,78420,4960,59990,2050,447240,720,344880,4140
2015-08-18,화요일,188520,5350,172110,2190,323190,2050,4970,1830,78460,4960,59870,2050,445750,720,345610,4130
2015-08-19,수요일,189190,5330,171450,2200,322910,2040,4520,1800,78490,4960,59740,2050,445400,720,346610,4120
2015-08-20,목요일,189800,5310,170820,2210,322300,2040,4410,1780,78490,4950,59610,2050,443910,730,347420,4110
2015-08-21,금요일,190300,5290,170210,2220,321690,2040,4560,1770,78490,4950,59480,2050,442840,730,348010,4090
2015-08-22,토요일,190120,5280,169570,2230,321460,2040,4590,1800,78490,4940,59360,2050,441290,730,347760,4080
2015-08-23,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2015-08-24,월요일,190700,5260,168980,2250,322060,2040,4550,1800,78650,4940,59250,2040,440280,740,348980,4070
2015-08-25,화요일,191030,5240,168440,2260,321850,2040,4420,1890,78700,4940,59120,2050,439090,740,349620,4060
2015-08-26,수요일,190970,5230,167880,2270,321820,2040,4640,1890,78710,4930,59020,2050,437810,740,349680,4050
2015-08-27,목요일,190880,5210,167320,2280,321600,2030,4690,1880,78670,4930,58760,2050,436700,750,349700,4040
2015-08-28,금요일,191360,5200,166750,2300,321580,2030,5190,1810,78660,4930,58700,2050,436150,750,350410,4030
2015-08-29,토요일,191760,5180,166170,2310,321520,2030,4880,1970,78630,4940,58580,2050,434470,750,350910,4020
2015-08-30,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2015-08-31,월요일,192840,5170,165660,2330,321720,2030,4770,1960,78730,4940,58490,2060,433620,750,352510,4010
2015-09-01,화요일,193440,5150,165200,2340,321160,2030,4660,2070,78720,4940,58380,2060,432420,760,353380,4000
2015-09-02,수요일,193800,5130,164660,2350,320690,2030,4320,2160,78670,4940,58290,2070,431720,760,353840,3980
2015-09-03,목요일,194100,5110,164180,2360,320070,2030,3900,2470,78660,4950,58090,2070,430510,760,354300,3970
2015-09-04,금요일,194440,5100,163720,2360,319590,2030,3540,2670,78680,4950,57990,2070,429450,760,354770,3960
2015-09-05,토요일,194570,5080,163280,2370,319240,2030,3530,2910,78710,4950,57880,2070,428460,770,354870,3950
2015-09-06,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2015-09-07,월요일,194870,5070,162990,2370,319260,2030,3400,3160,78850,4950,57820,2080,427900,770,355430,3940
2015-09-08,화요일,195130,5060,162660,2370,318710,2030,3370,3330,78880,4950,57740,2080,427390,770,355870,3930
2015-09-09,수요일,195570,5040,162280,2380,318210,2030,3490,3440,78860,4950,57670,2080,426640,770,356510,3920
2015-09-10,목요일,196070,5030,161930,2380,317550,2030,3710,3320,78800,4950,57450,2080,426620,770,357150,3910
2015-09-11,금요일,196570,5010,161650,2380,317010,2040,3890,3390,78750,4950,57370,2090,425870,780,357730,3900
2015-09-12,토요일,196700,5000,161360,2380,316660,2040,4230,3160,78690,4960,57300,2090,424470,780,357720,3890
2015-09-13,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2015-09-14,월요일,197090,4980,161200,2380,316640,2050,4710,3070,78750,4970,57250,2090,424150,780,358260,3890
2015-09-15,화요일,197470,4970,161070,2390,316200,2050,5200,2910,78750,4970,57190,2090,423540,780,358680,3880
2015-09-16,수요일,197760,4960,160960,2390,315700,2050,5440,3020,78710,4980,57120,2100,422920,790,359010,3870
2015-09-17,목요일,198280,4940,160970,2380,314990,2050,6300,2920,78680,4980,56950,2090,422230,790,359600,3860
2015-09-18,금요일,198720,4930,161050,2380,314590,2060,6620,2800,78650,4990,56920,2100,421390,790,360080,3850
2015-09-19,토요일,198970,4910,161120,2380,314280,2060,7460,2650,78640,5000,56920,2100,420310,790,360330,3840
2015-09-20,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2015-09-21,월요일,199850,4900,161530,2380,314470,2060,7310,2780,78790,5000,56960,2100,419710,790,361650,3830
2015-09-22,화요일,200480,4880,162190,2380,314040,2060,7230,2720,78860,5010,56990,2110,418710,800,362580,3820
2015-09-23,수요일,201030,4870,163050,2380,313860,2060,6890,2660,78960,5010,57030,2120,417860,800,363460,3810
2015-09-24,목요일,201410,4850,164410,2380,313370,2060,6240,2900,79070,5010,57120,2120,416910,800,364240,3800
2015-09-25,금요일,201510,4840,166360,2380,313370,2050,7090,2780,79280,5010,57220,2130,415650,800,364610,3790
2015-09-26,토요일,200840,4820,166960,2370,312730,2050,5540,3440,79020,5000,57150,2140,413820,800,363420,3780
2015-09-27,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2015-09-28,월요일,0,,0,,0,,0,,0,,0,,0,,0,
2015-09-29,화요일,199970,4820,166280,2370,0,,4430,3810,78690,5000,56900,2130,0,,361860,3770
2015-09-30,수요일,199930,4810,166400,2360,313110,2040,4090,3820,78880,4990,56870,2130,412840,800,361700,3770
2015-10-01,목요일,200280,4800,166540,2360,313450,2040,4860,3430,79060,4980,56820,2140,411750,810,362170,3760
2015-10-02,금요일,200580,4780,166660,2360,313410,2040,3200,3580,79160,4970,56750,2140,410570,810,362610,3750
2015-10-03,토요일,200740,4770,166830,2350,313590,2030,4160,2660,79210,4960,56690,2140,409170,810,362870,3740
2015-10-04,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2015-10-05,월요일,201690,4750,167220,2350,313750,2030,4130,2600,79320,4950,56620,2140,408740,810,364150,3730
2015-10-06,화요일,202270,4740,167490,2340,313620,2030,4690,2180,79310,4950,56560,2140,408100,810,364910,3720
2015-10-07,수요일,202650,4730,167600,2340,313450,2030,5570,1970,79320,4940,56500,2150,407410,820,365350,3710
2015-10-08,목요일,202940,4710,167720,2330,313060,2020,5050,1930,79300,4930,56320,2150,406810,820,365590,3700
2015-10-09,금요일,203220,4700,167780,2330,312810,2020,5120,1820,79320,4930,56270,2150,405900,820,365750,3690
2015-10-10,토요일,203150,4680,167820,2320,312690,2020,4770,1920,79300,4920,56230,2150,404770,820,365470,3680
2015-10-11,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2015-10-12,월요일,203490,4670,168090,2320,312760,2020,5050,1830,79420,4920,56170,2150,404300,820,365950,3670
2015-10-13,화요일,203810,4660,168410,2320,312530,2010,5090,1810,79490,4910,56140,2150,403510,830,366420,3660
2015-10-14,수요일,204070,4650,168690,2310,312270,2010,4440,1750,79520,4910,56110,2160,402910,830,366820,3660
2015-10-15,목요일,204480,4640,168930,2310,311810,2010,4330,1730,79520,4900,55940,2160,402060,830,367560,3650
2015-10-16,금요일,204690,4620,169130,2310,311500,2010,4040,1680,79540,4900,55890,2160,401100,830,367880,3640
2015-10-17,토요일,204650,4610,169080,2300,311450,2000,4120,1640,79460,4900,55800,2160,399980,830,367810,3630
2015-10-18,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2015-10-19,월요일,204900,4600,169310,2300,311450,2000,4120,1550,79570,4890,55730,2160,399170,840,368190,3620
2015-10-20,화요일,205000,4590,169590,2300,311430,2000,3970,1490,79590,4890,55670,2170,398100,840,368290,3610
2015-10-21,수요일,205010,4580,169730,2290,311390,2000,4390,1390,79580,4880,55590,2170,397480,840,368200,3600
2015-10-22,목요일,205000,4570,169980,2290,311110,1990,4320,1390,79600,4880,55420,2170,396650,840,368180,3600
2015-10-23,금요일,205050,4560,170300,2280,311240,1990,4260,1430,79650,4870,55400,2170,396090,840,368100,3590
2015-10-24,토요일,204940,4550,170480,2280,311380,1990,4250,1480,79680,4860,55390,2170,394970,840,367830,3580
2015-10-25,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2015-10-26,월요일,205120,4540,170920,2280,311760,1980,5690,1420,79850,4850,55340,2170,394480,850,368050,3570
2015-10-27,화요일,205180,4530,171200,2270,311710,1980,6240,1390,79870,4840,55260,2170,393760,850,368040,3570
2015-10-28,수요일,205080,4520,171270,2270,311610,1970,7360,1380,79840,4830,55190,2180,393060,850,367800,3560
2015-10-29,목요일,205090,4510,171460,2260,311270,1970,9460,1290,79820,4830,55000,2180,392300,850,367810,3560
2015-10-30,금요일,205100,4500,171770,2260,311160,1960,11730,1120,79850,4820,54950,2180,391470,850,367840,3550
2015-10-31,토요일,205040,4500,171920,2250,310830,1960,14660,910,79810,4810,54910,2180,390410,860,367690,3540
2015-11-01,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2015-11-02,월요일,205150,4490,172080,2250,310730,1960,16620,900,79800,4800,54890,2180,389790,860,367750,3540
2015-11-03,화요일,205180,4490,172220,2250,310150,1950,18630,800,79710,4800,54880,2190,389150,860,367630,3540
2015-11-04,수요일,205260,4480,172430,2250,309670,1950,19850,790,79650,4800,54880,2190,388670,860,367580,3530
2015-11-05,목요일,205160,4480,172630,2240,308950,1950,20770,820,79580,4800,54730,2190,387740,860,367310,3530
2015-11-06,금요일,205110,4470,172740,2240,308550,1940,22500,820,79520,4810,54790,2190,386750,870,367010,3530
2015-11-07,토요일,204970,4470,172760,2240,308150,1940,22310,840,79460,4810,54840,2190,385520,870,366560,3520
2015-11-08,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2015-11-09,월요일,205210,4460,172870,2240,307830,1940,22270,860,79540,4810,54910,2190,384660,870,366660,3520
2015-11-10,화요일,205350,4460,173010,2230,307650,1930,22750,860,79540,4800,55000,2190,383750,870,366640,3520
2015-11-11,수요일,205520,4450,173290,2230,307400,1930,24330,800,79510,4800,55090,2190,382830,870,366700,3510
2015-11-12,목요일,205570,4440,173640,2230,306680,1930,24740,760,79460,4800,54940,2190,382270,880,366620,3510
2015-11-13,금요일,205540,4440,173960,2220,306510,1920,24470,750,79390,4790,55060,2190,381710,880,366360,3510
2015-11-14,토요일,205470,4430,173930,2220,305990,1920,23530,750,79310,4790,55140,2200,380650,880,366010,3500
2015-11-15,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2015-11-16,월요일,205640,4430,174190,2220,306050,1920,21920,750,79340,4790,55360,2210,379900,880,366080,3500
2015-11-17,화요일,205700,4430,174320,2220,305770,1910,21190,770,79270,4790,55530,2210,379210,890,366000,3500
2015-11-18,수요일,205680,4420,174410,2210,305520,1910,19470,820,79180,4790,55630,2210,378600,890,365770,3500
2015-11-19,목요일,205710,4420,174440,2210,305000,1910,17260,840,79110,4790,55560,2210,377580,890,365640,3500
2015-11-20,금요일,205660,4410,174380,2210,304750,1900,15530,860,79040,4790,55540,2220,376970,890,365360,3500
2015-11-21,토요일,205170,4410,173900,2210,303890,1900,13750,870,78800,4790,55390,2230,375660,890,364410,3490
2015-11-22,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2015-11-23,월요일,204900,4410,173580,2200,303650,1900,14100,850,79070,4780,55420,2240,374610,900,363830,3500
2015-11-24,화요일,204400,4410,173170,2200,302850,1890,12610,870,78960,4760,55340,2250,373400,900,362880,3500
2015-11-25,수요일,203880,4410,172750,2200,302040,1890,11340,880,78720,4770,55230,2260,372120,900,361890,3500
2015-11-26,목요일,203290,4420,172230,2200,301140,1890,11410,880,78730,4760,55080,2260,0,,360820,3500
2015-11-27,금요일,202780,4420,171780,2190,300430,1890,11940,850,78590,4750,54960,2270,370890,900,359880,3500
2015-11-28,토요일,202280,4420,171310,2190,299520,1880,14270,800,78360,4750,54820,2280,369580,900,358940,3510
2015-11-29,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2015-11-30,월요일,201840,4420,171070,2190,298770,1880,13240,810,78460,4740,54740,2290,368300,910,358130,3510
2015-12-01,화요일,201480,4420,170770,2190,297970,1880,13700,750,78350,4730,54680,2290,367290,910,357350,3510
2015-12-02,수요일,200940,4420,170350,2190,297190,1880,13300,720,78260,4720,54580,2300,366180,910,356340,3510
2015-12-03,목요일,200630,4430,170260,2190,296460,1880,14360,730,78230,4710,54550,2300,365000,910,355710,3510
2015-12-04,금요일,200390,4430,170140,2190,295890,1870,15710,780,78210,4710,54540,2310,364270,910,355180,3510
2015-12-05,토요일,200200,4430,170060,2180,295260,1870,16240,800,78050,4720,54560,2310,363500,920,354680,3520
2015-12-06,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2015-12-07,월요일,200170,4430,170250,2180,294730,1870,16490,830,78280,4710,54630,2310,362590,920,354450,3520
2015-12-08,화요일,200130,4430,170440,2180,294090,1870,18550,910,78300,4710,54730,2320,362300,920,354210,3520
2015-12-09,수요일,200110,4430,170590,2180,293620,1870,21130,1000,78320,4710,54840,2320,361720,920,354010,3520
2015-12-10,목요일,200040,4430,170680,2170,292990,1860,22490,1050,78320,4710,54890,2320,361330,930,353730,3520
2015-12-11,금요일,199940,4430,170640,2170,292500,1860,23340,1080,78200,4730,54910,2320,360720,930,353370,3520
2015-12-12,토요일,199800,4430,170610,2170,291940,1860,22620,1150,78090,4740,55010,2320,359810,930,352960,3520
2015-12-13,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2015-12-14,월요일,199870,4430,170740,2170,291550,1860,23680,1180,78350,4740,55060,2320,359420,930,352880,3520
2015-12-15,화요일,199600,4430,170550,2170,290820,1860,21840,1270,78240,4740,55080,2320,358780,930,352290,3520
2015-12-16,수요일,199450,4430,170590,2170,290300,1860,19850,1400,78180,4750,55140,2320,358110,940,351880,3530
2015-12-17,목요일,199290,4440,170600,2170,289610,1860,17170,1600,78130,4750,55050,2320,357750,940,351490,3530
2015-12-18,금요일,199160,4450,170680,2170,289270,1860,14140,1810,78020,4770,55110,2320,357300,940,351170,3540
2015-12-19,토요일,199050,4460,170740,2170,288680,1850,14330,1960,77910,4780,55170,2320,356370,940,350830,3550
2015-12-20,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2015-12-21,월요일,199130,4470,171000,2170,288240,1850,14210,2180,78020,4780,55210,2320,356090,940,350810,3560
2015-12-22,화요일,199160,4470,171110,2170,287620,1860,14550,2440,77900,4790,55130,2320,355670,940,350710,3560
2015-12-23,수요일,199120,4480,171300,2170,287120,1860,17160,2610,77880,4800,55170,2320,355440,940,350580,3570
2015-12-24,목요일,199000,4480,171430,2160,286450,1860,19020,2590,77760,4820,55170,2320,354710,950,350330,3570
2015-12-25,금요일,198850,4490,171500,2160,285980,1860,18530,2590,77660,4830,55040,2320,353840,950,350090,3580
2015-12-26,토요일,198700,4490,171380,2160,285430,1860,17090,2680,77610,4850,55100,2320,353040,950,349820,3580
2015-12-27,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2015-12-28,월요일,199250,4480,171830,2160,285750,1860,14540,2830,77710,4850,55380,2320,353240,950,350710,3580
2015-12-29,화요일,199850,4470,172100,2160,285560,1850,13420,2960,77670,4850,55290,2320,353500,950,351290,3570
2015-12-30,수요일,199670,4480,172090,2160,284950,1850,9650,3000,77530,4870,55200,2320,352570,950,350980,3570
2015-12-31,목요일,199580,4470,171530,2150,284520,1850,6630,3210,77380,4880,55040,2320,352400,960,350650,3560
2016-01-01,금요일,180,7470,90,1660,0,,0,,0,,0,,0,,180,7470
2016-01-02,토요일,22980,6650,14410,1980,24660,1710,0,,6700,14230,7640,1710,89700,1530,30710,6190
2016-01-03,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2016-01-04,월요일,139020,6310,127730,1950,125620,1760,10760,4010,54970,12380,32770,2140,285370,1460,223730,5530
2016-01-05,화요일,178520,6160,167380,1930,126870,1780,8170,4530,59090,11570,40360,2220,310950,1430,283990,5240
2016-01-06,수요일,194000,6100,201170,1910,128630,1850,7690,4520,77960,9790,43450,2220,346760,1420,305300,5110
2016-01-07,목요일,242550,6160,312410,1900,142660,1890,7830,4570,116870,8980,71580,2250,441490,1430,388100,5050
2016-01-08,금요일,239350,6240,313670,1870,142450,1920,7290,4710,113570,8200,68510,2150,403330,1420,380560,5050
2016-01-09,토요일,242440,6220,320940,1850,142980,1940,7170,4620,111140,7780,68350,2080,388190,1410,382510,5020
2016-01-10,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2016-01-11,월요일,244230,6250,323310,1840,142480,1970,6290,4980,110030,7380,65810,2090,390160,1400,383520,5020
2016-01-12,화요일,242990,6360,333110,1820,144050,2020,6320,5190,107800,7160,65400,2140,391190,1390,379790,5110
2016-01-13,수요일,246920,6500,366270,1810,176980,2080,6230,5500,115610,6960,70710,2200,428540,1380,387360,5210
2016-01-14,목요일,241270,6570,406660,1810,182270,2130,6450,5740,130970,6720,66960,2200,449830,1370,391910,5240
2016-01-15,금요일,236570,6650,448770,1800,213850,2170,7830,5880,148480,6460,79570,2230,494800,1370,398810,5270
2016-01-16,토요일,229990,6730,479020,1790,226740,2200,9970,6180,157800,6380,87660,2260,510580,1360,401470,5300
2016-01-17,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2016-01-18,월요일,226280,6840,511680,1800,251550,2240,10810,6230,173630,6270,93770,2300,527730,1360,416440,5340
2016-01-19,화요일,218640,6960,523340,1830,261980,2270,10560,6740,177710,6270,100060,2350,531140,1360,415490,5390
2016-01-20,수요일,212670,7060,537720,1870,272740,2290,10370,6900,185150,6190,105920,2390,528840,1350,417220,5400
2016-01-21,목요일,210690,7120,548050,1890,267030,2330,9830,7250,187460,6180,101010,2360,548410,1350,420680,5410
2016-01-22,금요일,205630,7190,558040,1900,280230,2360,12940,7300,191040,6240,107460,2370,589330,1350,417880,5400
2016-01-23,토요일,203970,7260,565480,1920,284760,2380,11780,7470,194700,6450,110280,2420,601940,1350,419210,5430
2016-01-24,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2016-01-25,월요일,199500,7320,576740,1940,289610,2400,15660,7580,188860,6360,105920,2460,614100,1350,420530,5430
2016-01-26,화요일,196460,7370,580560,1970,288860,2430,17510,7110,194020,6390,110270,2480,626940,1340,420270,5460
2016-01-27,수요일,190990,7460,569640,1990,283490,2450,19400,6890,190770,6320,108070,2510,624010,1340,411070,5500
2016-01-28,목요일,187500,7490,569140,2020,279810,2480,21160,6480,188100,6400,107390,2540,637730,1350,408860,5520
2016-01-29,금요일,184490,7530,570200,2050,283250,2510,18700,6540,186930,6460,107680,2570,646170,1350,407530,5520
2016-01-30,토요일,180650,7600,563640,2100,278400,2540,18690,6570,183600,6670,106150,2620,646800,1350,401200,5540
2016-01-31,일요일,173980,7770,542920,2100,0,,0,,176580,6870,102100,2560,0,,386420,5610
2016-02-01,월요일,171690,7870,554910,2150,277880,2570,16460,6610,178910,6930,102290,2610,674820,1350,385180,5660
2016-02-02,화요일,170050,7910,564450,2170,275520,2590,16940,6560,178060,7090,102520,2660,694570,1360,383840,5710
2016-02-03,수요일,168210,7930,575040,2190,275490,2620,17240,6680,180010,7130,103520,2700,694420,1360,383780,5740
2016-02-04,목요일,165150,7990,584510,2210,271190,2650,16910,6900,179970,7260,104670,2730,697930,1350,382710,5780
2016-02-05,금요일,161270,8100,596370,2230,274920,2680,16340,7000,182810,7290,105400,2780,699570,1350,379580,5830
2016-02-06,토요일,157170,8240,599760,2270,277610,2690,16120,6920,183030,7400,104910,2810,687480,1350,372570,5890
2016-02-07,일요일,152570,8300,582310,2270,268970,2660,13820,6500,177580,7540,101770,2750,666710,1350,361640,5980
2016-02-08,월요일,0,,0,,0,,0,,0,,0,,0,,0,
2016-02-09,화요일,0,,0,,0,,0,,0,,0,,0,,0,
2016-02-10,수요일,0,,565710,2240,0,,0,,172360,7640,98780,2750,0,,351320,6010
2016-02-11,목요일,148530,8370,559090,2270,269930,2680,8610,6300,175290,7600,97320,2810,660900,1350,345790,6030
2016-02-12,금요일,147020,8440,554850,2290,282460,2690,7620,5740,177120,7620,97440,2830,661490,1350,344860,6080
2016-02-13,토요일,153720,8430,549870,2300,286310,2680,7280,5200,178580,7580,98380,2840,658990,1350,352110,6100
2016-02-14,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2016-02-15,월요일,164050,8410,552000,2310,293020,2680,10330,5340,184550,7480,99560,2840,658950,1350,364730,6120
2016-02-16,화요일,171470,8410,549740,2300,295570,2690,10440,5170,185400,7380,100030,2860,665910,1340,372370,6150
2016-02-17,수요일,177740,8400,548930,2300,296970,2690,10050,5010,185680,7280,100160,2870,669930,1340,377720,6170
2016-02-18,목요일,181870,8380,550010,2290,297540,2690,10050,4580,186390,7170,98570,2880,673290,1340,380890,6190
2016-02-19,금요일,185130,8390,552960,2280,301230,2690,9950,4440,185950,7080,99250,2880,672750,1340,383030,6230
2016-02-20,토요일,187940,8390,558310,2260,302260,2690,9880,4420,185800,7010,100400,2880,672440,1340,385800,6260
2016-02-21,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2016-02-22,월요일,188490,8410,555810,2250,302570,2700,8990,4380,187650,6910,99670,2890,672280,1340,386970,6280
2016-02-23,화요일,189790,8420,552210,2240,302330,2700,8720,4370,186900,6840,98220,2890,669190,1340,387630,6300
2016-02-24,수요일,189800,8420,546800,2230,301420,2700,8580,4390,185490,6770,97870,2900,663140,1340,386210,6320
2016-02-25,목요일,191020,8420,541190,2220,300020,2710,8200,4410,184020,6700,97210,2910,659180,1330,386440,6330
2016-02-26,금요일,192820,8420,536880,2200,300270,2720,7960,4420,183020,6630,96740,2900,658570,1330,387910,6340
2016-02-27,토요일,192910,8400,529810,2190,297720,2720,7250,4460,180460,6590,95550,2900,646990,1330,386330,6340
2016-02-28,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2016-02-29,월요일,197300,8380,526840,2180,299310,2730,7550,4530,180950,6520,94800,2920,640020,1330,391890,6320
2016-03-01,화요일,199770,8350,521770,2170,298310,2730,7290,4630,180560,6440,93970,2940,633620,1330,394000,6310
2016-03-02,수요일,201530,8320,517920,2160,298540,2740,8340,4690,179760,6380,93570,2950,629150,1330,395700,6290
2016-03-03,목요일,202920,8280,514200,2150,297390,2750,9070,4750,178900,6330,93100,2960,625770,1330,397220,6260
2016-03-04,금요일,204440,8240,511370,2140,298330,2760,10780,4740,177800,6300,92840,2970,622720,1340,398760,6240
2016-03-05,토요일,205240,8210,507680,2130,298230,2770,11400,4710,176530,6300,92410,2990,619070,1340,399130,6220
2016-03-06,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2016-03-07,월요일,207750,8200,506070,2120,299970,2790,12460,4660,178150,6250,92220,3000,616430,1340,402820,6210
2016-03-08,화요일,209260,8180,503560,2110,300910,2800,14080,4550,177550,6220,92060,3010,614010,1340,404020,6200
2016-03-09,수요일,210410,8160,501280,2100,302050,2810,14620,4470,177350,6180,92070,3010,613190,1350,404610,6180
2016-03-10,목요일,211440,8130,499170,2090,300940,2830,14810,4330,176500,6150,92010,3020,611400,1350,404900,6170
2016-03-11,금요일,212370,8120,497400,2070,302700,2850,13900,4310,175970,6110,92040,3020,608930,1350,405090,6170
2016-03-12,토요일,213340,8100,495270,2060,304240,2860,15570,4200,174900,6100,92100,3020,606150,1350,405340,6170
2016-03-13,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2016-03-14,월요일,216140,8080,494470,2050,307670,2870,17250,4040,175340,6060,92150,3030,606970,1350,408980,6160
2016-03-15,화요일,217360,8060,492580,2040,307710,2870,16970,3930,174640,6030,92170,3040,606660,1360,410240,6150
2016-03-16,수요일,218660,8040,490390,2030,309090,2880,16870,3830,174230,6000,92150,3050,611430,1360,411300,6150
2016-03-17,목요일,219370,8010,488070,2020,308320,2890,17550,3780,173770,5970,92180,3050,610550,1360,411930,6140
2016-03-18,금요일,220480,7990,485540,2010,310410,2900,17600,3710,173180,5950,92240,3050,610080,1350,413280,6130
2016-03-19,토요일,221490,7960,482270,2000,311570,2910,16580,3750,172320,5940,92290,3060,606610,1350,414150,6120
2016-03-20,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2016-03-21,월요일,224730,7930,480780,1990,315690,2920,15350,3830,173410,5910,92480,3060,608800,1350,419180,6100
2016-03-22,화요일,226400,7890,478530,1990,316970,2930,14650,3840,173130,5880,92670,3070,607200,1350,421400,6080
2016-03-23,수요일,227910,7850,477100,1980,319400,2930,14500,3870,173020,5850,92920,3070,606570,1350,423180,6050
2016-03-24,목요일,229190,7800,475440,1970,319220,2940,14080,3910,172180,5840,93200,3080,605510,1350,424810,6020
2016-03-25,금요일,230560,7750,473960,1960,322720,2940,14590,3880,171800,5820,93360,3070,607210,1340,426470,5990
2016-03-26,토요일,231740,7700,471600,1950,325130,2950,14460,3790,171260,5800,93680,3070,609080,1340,428120,5960
2016-03-27,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2016-03-28,월요일,234800,7650,470090,1940,328940,2960,13910,3730,171910,5770,94070,3070,612870,1340,432600,5930
2016-03-29,화요일,235960,7600,467770,1930,329600,2960,14570,3760,171570,5740,94410,3060,616500,1330,434300,5890
2016-03-30,수요일,236750,7550,465480,1930,331620,2960,13560,3780,171230,5710,94760,3060,620980,1330,435230,5860
2016-03-31,목요일,237690,7510,463370,1920,331180,2970,13150,3730,171730,5670,95160,3050,625370,1320,436110,5840
2016-04-01,금요일,238540,7470,461120,1920,334140,2970,12000,3810,171560,5640,95580,3030,628800,1310,437170,5810
2016-04-02,토요일,239400,7430,458650,1910,336670,2980,11090,3850,170940,5630,96030,3020,626920,1310,438230,5790
2016-04-03,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2016-04-04,월요일,241630,7390,456770,1910,342120,2990,11110,3910,172080,5600,96510,3010,628440,1310,442010,5770
